 WARN [2015-04-08 22:39:47,228] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-08 22:39:47,771] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-08 22:39:47,774] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-10 09:53:15,165] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-10 09:53:15,525] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-10 09:53:15,530] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-10 16:38:41,784] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-10 16:38:42,362] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-10 16:38:42,365] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-10 21:48:10,946] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-10 21:48:11,015] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-10 21:48:11,018] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-11 11:09:15,722] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-11 11:09:15,730] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-11 11:09:15,731] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-12 09:26:30,052] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-12 09:26:30,119] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-12 09:26:30,122] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-13 16:12:05,473] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-13 16:12:06,062] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-13 16:12:06,075] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-04-14 10:33:04,884] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-04-14 10:33:04,919] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-04-14 10:33:04,924] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
